Câu hỏi,A,B,C,D,Đáp án
DNA được cấu tạo từ những loại nucleotide nào?,A,T,G,X,A
Đơn vị cấu tạo nên phân tử DNA là:,Nucleotide,Amino acid,Glucose,Glycerol,A
Trong phân tử DNA nucleotide A liên kết bổ sung với nucleotide nào?,G,T,C,U,B
Quá trình tổng hợp RNA dựa trên khuôn DNA được gọi là:,Dịch mã,Tái bản,Phiên mã,Đột biến,C
Sản phẩm trực tiếp của quá trình phiên mã là:,Protein,DNA,RNA,Nucleotide,C
Quá trình tổng hợp protein dựa trên thông tin của mRNA được gọi là:,Phiên mã,Tái bản,Dịch mã,Nhân đôi,C
Một đoạn DNA có trình tự A–T–G–X–A–X. Trình tự mạch bổ sung là:,T–A–X–G–T–G,A–T–G–X–A–X,U–A–C–G–U–C,G–C–A–T–G–C,A
Nếu trình tự nucleotide của một gene thay đổi điều gì có thể xảy ra?,Không bao giờ ảnh hưởng đến tính trạng,Có thể làm thay đổi protein và tính trạng,Luôn làm tế bào chết,Chỉ thay đổi kích thước tế bào,B
Đơn phân cấu tạo nên nucleic acid là:,Nucleotide,Amino acid,Glucose,Glycerol,A
